Id,Title,Audio,Video,Audio2
330,ترحيـبة غيـم,PoetryMedia\330\330_audio_1.mp3,,
330,ترحيـبة غيـم,PoetryMedia\330\330_audio_2.mp3,PoetryMedia\330\330_video_1.mp4,
332,شهر سته,PoetryMedia\332\332_audio_1.mp3,PoetryMedia\332\332_video_1.mp4,
336,لو يضيق الصدر,PoetryMedia\336\336_audio_1.mp3,,
338,أغلى وصل وفراق,PoetryMedia\338\338_audio_1.mp3,PoetryMedia\338\338_video_1.mp4,PoetryMedia\338\338_audio_2.mp3
340,أقول لك تم,PoetryMedia\340\340_audio_1.mp3,PoetryMedia\340\340_video_1.mp4,
343,وجه المجد,PoetryMedia\343\343_audio_1.mp3,PoetryMedia\343\343_video_1.mp4,
346,دمع العظيم,PoetryMedia\346\346_audio_1.mp3,PoetryMedia\346\346_video_1.mp4,
349,وسام أم الشعب,PoetryMedia\349\349_audio_1.mp3,PoetryMedia\349\349_video_1.mp4,
350,أبشّـرك,PoetryMedia\350\350_audio_1.mp3,PoetryMedia\350\350_video_1.mp4,
351,إحتضنك المجـد,PoetryMedia\351\351_audio_1.mp3,PoetryMedia\351\351_video_1.mp4,
356,الرويس وغياثي,PoetryMedia\356\356_audio_1.mp3,PoetryMedia\356\356_video_1.mp4,
358,يعلمني الرماية,PoetryMedia\358\358_audio_1.mp3,PoetryMedia\358\358_video_1.mp4,
359,المشكله بين الاثنين,PoetryMedia\359\359_audio_1.mp3,PoetryMedia\359\359_video_1.mp4,
366,فكرة شاملة,PoetryMedia\366\366_audio_1.mp3,PoetryMedia\366\366_video_1.mp4,
367,ذكرياتي مَعَ راشد,PoetryMedia\367\367_audio_1.mp3,PoetryMedia\367\367_video_1.mp4,
369,سؤالك غلط,PoetryMedia\369\369_audio_1.mp3,PoetryMedia\369\369_video_1.mp4,
375,نعمه من الله,PoetryMedia\375\375_audio_1.mp3,PoetryMedia\375\375_video_1.mp4,
376,زايد وجابر,PoetryMedia\376\376_audio_1.mp3,PoetryMedia\376\376_video_1.mp4,
379,أميرة قلوب الأنقياء,PoetryMedia\379\379_audio_1.mp3,PoetryMedia\379\379_video_1.mp4,
381,إمّـا وفـا .. والّا ..,PoetryMedia\381\381_audio_1.mp3,PoetryMedia\381\381_video_1.mp4,
383,غلا قطر,PoetryMedia\383\383_audio_1.mp3,PoetryMedia\383\383_video_1.mp4,
385,ساحـة الشـعّـار,PoetryMedia\385\385_audio_1.mp3,PoetryMedia\385\385_video_1.mp4,
387,يا اعظم ملك,PoetryMedia\387\387_audio_1.mp3,PoetryMedia\387\387_video_1.mp4,
389,كلمات .. وّلدت منه,PoetryMedia\389\389_audio_1.mp3,PoetryMedia\389\389_video_1.mp4,
395,سفينة أحلامي,PoetryMedia\395\395_audio_1.mp3,PoetryMedia\395\395_video_1.mp4,
